Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
residue;crop residue;legume residue;vetch residue;hairy vetch residue;;;;;
residue;crop residue;legume residue;soybean residue;;;;;;
residue;crop residue;legume residue;cowpea residue;;;;;;
residue;crop residue;pruning residue;;;;;;;
residue;root residue;;;;;;;;
residue;shoot residue;;;;;;;;
residue;surface residue;;;;;;;;
residue;gm residue;;;;;;;;
residue;fresh residue;;;;;;;;
residue;herbicide residue;;;;;;;;
fertilizer;chemical fertilizer;N fertilizer;ammonium nitrate;;;;;;
fertilizer;chemical fertilizer;N fertilizer;ammonium sulphate;;;;;;
fertilizer;chemical fertilizer;N fertilizer;diammonium phosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;rock phosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;superphosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;triple superphosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;diammonium phosphate;;;;;;
fertilizer;chemical fertilizer;K fertilizer;potassium chloride;;;;;;
fertilizer;chemical fertilizer;NPK fertilizer;;;;;;;
fertilizer;organic fertilizer;manure;animal manure;farmyard manure;compost cattle manure;;;;
fertilizer;organic fertilizer;manure;animal manure;poultry litter;broiler litter;;;;
fertilizer;organic fertilizer;manure;animal manure;chicken manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;pig manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;goat manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;horse manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;sheep manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;cattle manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;dairy manure;;;;;
fertilizer;organic fertilizer;manure;green manure;leguminous green manure;clover green manure;red clover green manure;;;
fertilizer;organic fertilizer;manure;green manure;leguminous green manure;cowpea green manure;;;;
fertilizer;organic fertilizer;manure;green manure;brassica green manure;mustard green manure;;;;
fertilizer;organic fertilizer;manure;green manure;winter green manure;;;;;
fertilizer;organic fertilizer;manure;liquid manure;;;;;;
fertilizer;organic fertilizer;compost;vermicompost;;;;;;
fertilizer;organic fertilizer;compost;organic compost;;;;;;
fertilizer;organic fertilizer;sludge;sewage sludge;;;;;;
fertilizer;organic fertilizer;mulch;living mulch;;;;;;
fertilizer;organic fertilizer;mulch;hairy vetch mulch;;;;;;
fertilizer;organic fertilizer;slurry;pig slurry;;;;;;
fertilizer;organic fertilizer;slurry;cattle slurry;;;;;;
fertilizer;organic fertilizer;digestate;;;;;;;
fertilizer;organic fertilizer;stover;maize stover;;;;;;
fertilizer;organic fertilizer;biosolid;;;;;;;
fertilizer;organic fertilizer;biochar;;;;;;;
fertilizer;organic fertilizer;amendment;organic amendment;biochar amendment;;;;;
fertilizer;organic fertilizer;amendment;compost amendment;;;;;;
fertilizer;organic fertilizer;amendment;green manure amendment;;;;;;
fertilizer;organic fertilizer;amendment;gypsum amendment;;;;;;
fertilizer;organic fertilizer;biofertilizer;;;;;;;
fertilizer;soil conditioner;lime application;;;;;;;
fertilizer;green fertilizer;;;;;;;;
microorganism;soil microorganism;soil bacteria;actinobacteria;;;;;;
microorganism;soil microorganism;soil bacteria;rhizobacteria;plant growth promote rhizobacteria;;;;;
microorganism;soil microorganism;soil fungus;;;;;;;
microorganism;soil microorganism;soil algae;;;;;;;
microorganism;soil microorganism;soil protozoa;;;;;;;
microorganism;soil microorganism;soil nematode;;;;;;;
microorganism;plant microbe;;;;;;;;
cover crop termination methods;herbicide application;glyphosate application;;;;;;;
cover crop termination methods;frost;;;;;;;;
cover crop termination methods;tillage;;;;;;;;
management;pest management;pest control;soil solarization;;;;;;
management;pest management;pest control;pesticide application;herbicide application;glyphosate application;;;;
management;pest management;pest control;pesticide application;fungicide application;;;;;
management;pest management;pest control;pesticide application;soil fumigation;;;;;
management;pest management;pest control;pesticide application;insecticide application;;;;;
management;weed management;weed control;soil solarization;;;;;;
management;weed management;weed control;weed suppression;;;;;;
management;weed management;weed control;chemical weed control;;;;;;
management;weed management;weed control;mechanical weed control;;;;;;
management;soil management;fallow;winter fallow;;;;;;
management;soil management;fallow;summer fallow;;;;;;
management;soil management;fallow;bare fallow;;;;;;
management;soil management;fallow;natural fallow;;;;;;
management;soil management;fallow;weedy fallow;;;;;;
management;soil management;fallow;chemical fallow;;;;;;
management;soil management;fallow;black fallow;;;;;;
management;soil management;fallow;green fallow;;;;;;
management;soil management;agroecological practice;;;;;;;
management;soil management;soil restoration;;;;;;;
management;soil management;conservation management;no till management;;;;;;
management;soil management;ground cover management;;;;;;;
management;soil management;contour farming;;;;;;;
management;soil management;tillage;conventional tillage;plowing;deep plowing;;;;
management;soil management;tillage;conventional tillage;plowing;moldboard plowing;;;;
management;soil management;tillage;conventional tillage;plowing;chisel plowing;;;;
management;soil management;tillage;conventional tillage;plowing;shallow plowing;;;;
management;soil management;tillage;conventional tillage;deep tillage;;;;;
management;soil management;tillage;conventional tillage;rotary tillage;;;;;
management;soil management;tillage;conventional tillage;inversion tillage;;;;;
management;soil management;tillage;conservation tillage;minimum tillage;;;;;
management;soil management;tillage;conservation tillage;no tillage;;;;;
management;soil management;tillage;conservation tillage;strip tillage;;;;;
management;soil management;tillage;conservation tillage;plowless tillage;;;;;
management;soil management;tillage;conservation tillage;non - inversion tillage;;;;;
management;soil management;tillage;conservation tillage;ridge tillage;;;;;
management;soil management;tillage;conservation tillage;shallow tillage;;;;;
management;soil management;tillage;spring tillage;;;;;;
management;soil management;tillage;primary tillage;;;;;;
management;soil management;tillage;clean tillage;;;;;;
management;soil management;tillage;surface tillage;;;;;;
management;soil management;tillage;rolling;;;;;;
management;soil management;tillage;disking;;;;;;
management;soil management;tillage;harrowing;;;;;;
management;soil management;tillage;soil scarification;;;;;;
management;crop management;seed treatment;fungicide seed treatment;;;;;;
management;crop management;agroecological practice;;;;;;;
management;crop management;crop improvement;;;;;;;
management;crop management;crop harvest;grain harvest;wheat harvest;winter wheat harvest;;;;
management;crop management;crop harvest;grain harvest;rice harvest;;;;;
management;crop management;crop harvest;grain harvest;corn harvest;;;;;
management;crop management;crop harvest;soybean harvest;;;;;;
management;crop management;crop harvest;cash crop harvest;;;;;;
management;crop management;cover crop management;green manure management;;;;;;
management;crop management;cover crop management;catch crop management;;;;;;
management;crop management;cover crop management;cover crop termination;early termination;;;;;
management;crop management;cover crop management;cover crop termination;late termination;;;;;
management;crop management;cover crop management;cover crop termination;mechanical termination;;;;;
management;crop management;cover crop management;cover crop termination;chemical termination;;;;;
management;crop management;cover crop management;cover crop termination;frost winterkill;;;;;
management;crop management;crop arrangement in space and time;monocropping;;;;;;
management;crop management;crop arrangement in space and time;monocropping;;;;;;
management;crop management;crop arrangement in space and time;monocropping;;;;;;
management;crop management;crop arrangement in space and time;monocropping;;;;;;
management;crop management;crop arrangement in space and time;monocropping;;;;;;
management;crop management;crop arrangement in space and time;multiple cropping;vegetable rotation;;;;;
management;crop management;crop arrangement in space and time;multiple cropping;legume rotation;;;;;
management;crop management;crop arrangement in space and time;multiple cropping;annual crop rotation;;;;;
management;crop management;crop arrangement in space and time;multiple cropping;cover crop rotation;green manure rotation;;;;
management;crop management;crop arrangement in space and time;multiple cropping;organic crop rotation;;;;;
management;crop management;crop arrangement in space and time;multiple cropping;double cropping;maize soybean rotation;no till corn soybean rotation;;;
management;crop management;crop arrangement in space and time;multiple cropping;double cropping;rice wheat rotation;;;;
management;crop management;crop arrangement in space and time;multiple cropping;triple cropping;corn soybean wheat rotation;;;;
management;crop management;crop arrangement in space and time;multiple cropping;intercropping;alley cropping;;;;
management;crop management;crop arrangement in space and time;multiple cropping;intercropping;relay intercropping;;;;
management;crop management;crop arrangement in space and time;multiple cropping;intercropping;strip intercropping;;;;
management;crop management;planting;crop planting;cash crop planting;soybean planting;;;;
management;crop management;planting;crop planting;cash crop planting;maize planting;;;;
management;crop management;planting;crop planting;cash crop planting;cotton planting;;;;
management;crop management;planting;crop planting;cash crop planting;wheat planting;;;;
management;crop management;planting;crop planting;cash crop planting;potato planting;;;;
management;crop management;planting;crop planting;cash crop planting;rice planting;;;;
management;crop management;planting;crop planting;cover crop planting;green manure planting;;;;
management;crop management;planting;direct seeding;;;;;;
management;crop management;planting;broadcast seeding;;;;;;
management;crop management;planting;early planting;;;;;;
management;crop management;planting;drill row;;;;;;
management;crop management;planting;late planting;;;;;;
management;crop management;planting;no till planting;;;;;;
management;nutrient management;manure treatment;;;;;;;
management;nutrient management;N management;;;;;;;
management;nutrient management;fertilizer application;soil fertilization;;;;;;
management;nutrient management;fertilizer application;foliar fertilization;;;;;;
management;nutrient management;fertilizer application;mineral fertilization;N fertilization;;;;;
management;nutrient management;fertilizer application;mineral fertilization;P fertilization;;;;;
management;nutrient management;fertilizer application;mineral fertilization;NPK fertilization;;;;;
management;nutrient management;fertilizer application;organic fertilization;manure application;green manure application;;;;
management;nutrient management;fertilizer application;organic fertilization;manure application;farmyard manure application;;;;
management;nutrient management;fertilizer application;organic fertilization;slurry application;;;;;
management;nutrient management;fertilizer application;organic fertilization;poultry litter application;;;;;
management;nutrient management;fertilizer application;split application;;;;;;
management;nutrient management;fertilizer application;single application;;;;;;
management;nutrient management;fertilizer application;lime application;;;;;;
management;residue management;cover crop residue management;;;;;;;
management;residue management;mulching;crop residue retention;straw mulching;rice straw mulching;;;;
management;residue management;mulching;plastic film mulching;;;;;;
management;residue management;straw management;;;;;;;
management;residue management;crop residue removal;maize residue removal;;;;;;
management;residue management;clean cultivation;;;;;;;
management;residue management;incorporation;residue incorporation;straw incorporation;rice straw return;;;;
management;residue management;incorporation;cover crop incorporation;green manure incorporation;;;;;
management;residue management;incorporation;spring incorporation;;;;;;
management;residue management;incorporation;early incorporation;;;;;;
management;water management;tile drain;;;;;;;
management;water management;water harvesting;;;;;;;
management;fertility management;soil fertility management;;;;;;;
management;fertilizer management;manure management;;;;;;;
management;fertilizer management;N fertilizer management;;;;;;;
management;field management;;;;;;;;
management;fallow management;;;;;;;;
management;farming management;organic farming practice;;;;;;;
management;farming management;precision farming;;;;;;;
management;farming management;animal husbandry;;;;;;;
nutrient uptake;N uptake;;;;;;;;
nutrient uptake;P uptake;;;;;;;;
plant part;aboveground part;seed;weed seed;waterhemp seed;;;;;
plant part;aboveground part;seed;cover crop seed;;;;;;
plant part;aboveground part;seed;hard seed;;;;;;
plant part;aboveground part;leaf;;;;;;;
plant part;aboveground part;canopy;;;;;;;
plant part;aboveground part;stem;;;;;;;
plant part;root;crop root;soybean root;;;;;;
plant part;root;crop root;maize root;;;;;;
plant part;root;crop root;cover crop root;;;;;;
plant part;root;crop root;tomato root;;;;;;
plant part;root;crop root;carrot root;;;;;;
plant part;root;crop root;rye root;;;;;;
plant part;root;crop root;rice root;;;;;;
plant part;root;storage root;;;;;;;
plant part;sprout;;;;;;;;
plant part;whole plant;;;;;;;;
stock;C stock;SOC stock;;;;;;;
crop property;growth stage;seedling;weed seedling;;;;;;
crop property;growth stage;seedling;maize seedling;;;;;;
crop property;growth stage;seedling;tomato seedling;;;;;;
crop property;growth stage;seedling;cotton seedling;;;;;;
crop property;growth stage;seedling;rice seedling;;;;;;
crop property;nutrient content;C content;total C content;;;;;;
crop property;nutrient content;N content;NO3 N content;;;;;;
crop property;nutrient content;N content;grain N content;;;;;;
crop property;nutrient content;N content;available N content;;;;;;
crop property;nutrient content;P content;available P content;;;;;;
crop property;nutrient content;K content;available K content;;;;;;
crop property;nutrient content;Ca content;;;;;;;
crop property;nutrient content;Cd content;;;;;;;
crop property;nutrient content;sugar content;;;;;;;
crop property;nutrient content;starch content;;;;;;;
crop property;nutrient demand;N demand;;;;;;;
crop property;crop coefficient;;;;;;;;
crop property;chlorophyll content;leaf chlorophyll content;;;;;;;
crop property;harvest index;;;;;;;;
crop property;carbon content;;;;;;;;
crop property;seed size;;;;;;;;
crop property;vegetation index;;;;;;;;
crop property;root length density;;;;;;;;
crop property;lignin content;;;;;;;;
crop property;water use efficiency;;;;;;;;
crop property;transpiration rate;;;;;;;;
crop property;oil content;;;;;;;;
crop property;allelopathic effect;;;;;;;;
crop property;yield;cereal yield;maize yield;maize grain yield;;;;;
crop property;yield;cereal yield;maize yield;sweet maize yield;;;;;
crop property;yield;cereal yield;wheat yield;wheat grain yield;;;;;
crop property;yield;cereal yield;wheat yield;winter wheat yield;;;;;
crop property;yield;cereal yield;barley yield;;;;;;
crop property;yield;cereal yield;rice yield;early rice yield;;;;;
crop property;yield;cereal yield;cereal grain yield;;;;;;
crop property;yield;legume yield;soybean yield;soybean grain yield;;;;;
crop property;yield;legume yield;peanut yield;;;;;;
crop property;yield;legume yield;bean yield;;;;;;
crop property;yield;fruit yield;grape yield;;;;;;
crop property;yield;fruit yield;strawberry yield;;;;;;
crop property;yield;fruit yield;cucumber yield;;;;;;
crop property;yield;fruit yield;apple yield;;;;;;
crop property;yield;sugar yield;;;;;;;
crop property;yield;cassava yield;;;;;;;
crop property;yield;cotton yield;seed cotton yield;;;;;;
crop property;yield;cotton yield;cotton lint yield;;;;;;
crop property;yield;dry matter yield;;;;;;;
crop property;yield;seed yield;;;;;;;
crop property;yield;biomass yield;;;;;;;
crop property;yield;marketable yield;;;;;;;
crop property;yield;vegetable yield;tomato yield;;;;;;
crop property;yield;vegetable yield;lettuce yield;;;;;;
crop property;yield;vegetable yield;broccoli yield;;;;;;
crop property;yield;vegetable yield;cabbage yield;;;;;;
crop property;yield;vegetable yield;onion yield;;;;;;
crop property;yield;vegetable yield;pumpkin yield;;;;;;
crop property;yield;vegetable yield;pepper yield;;;;;;
crop property;yield;vegetable yield;eggplant yield;;;;;;
crop property;yield;olive yield;;;;;;;
crop property;yield;total yield;;;;;;;
crop property;yield;cash crop yield;;;;;;;
crop property;yield;cover crop yield;;;;;;;
crop property;yield;average yield;;;;;;;
crop property;yield;annual yield;;;;;;;
crop property;yield;tuber yield;potato yield;;;;;;
crop property;yield;forage yield;silage maize yield;;;;;;
crop property;yield;sugarcane yield;;;;;;;
crop property;yield;N yield;;;;;;;
crop property;yield;potential yield;;;;;;;
crop property;yield;maximum yield;;;;;;;
crop property;yield;straw yield;;;;;;;
crop property;yield;;;;;;;;
crop property;yield;oil yield;;;;;;;
crop property;yield;root yield;;;;;;;
crop property;yield;leaf yield;;;;;;;
crop property;yield;sustainable yield index;;;;;;;
crop property;soil cover;;;;;;;;
crop property;growth rate;;;;;;;;
crop property;development rate;germination rate;;;;;;;
crop property;yield penalty;;;;;;;;
crop property;winter hardiness;;;;;;;;
crop property;yield component;tiller number;;;;;;;
crop property;yield component;crop density;;;;;;;
crop property;yield component;seed weight;;;;;;;
crop property;yield component;grain weight;;;;;;;
crop property;root density;;;;;;;;
crop property;dry matter content;;;;;;;;
crop property;seed mass;;;;;;;;
crop property;nutrient demand;N demand;;;;;;;
crop property;protein content;crude protein content;;;;;;;
crop property;crop height;;;;;;;;
crop property;canopy height;;;;;;;;
crop property;leaf area;;;;;;;;
crop property;leaf area index;;;;;;;;
crop property;specific leaf area;;;;;;;;
crop property;light interception;;;;;;;;
crop property;phytotoxic effect;;;;;;;;
crop property;crop density;cover crop density;;;;;;;
crop property;antioxidant activity;;;;;;;;
crop property;biofumigation potential;;;;;;;;
crop property;leaf area duration;;;;;;;;
crop property;photosynthetic rate;;;;;;;;
crop property;C sequestration potential;;;;;;;;
crop property;allelopathic activity;;;;;;;;
crop property;planting date;;;;;;;;
emission;GHG emission;CH4 emission;;;;;;;
emission;GHG emission;CO2 emission;soil CO2 emission;;;;;;
emission;GHG emission;N2O emission;soil N2O emission;;;;;;
emission;GHG emission;N2O emission;cumulative N2O emission;;;;;;
emission;GHG emission;N2O emission;direct N2O emission;;;;;;
emission;GHG emission;N2O emission;annual N2O emission;;;;;;
emission;NH3 emission;;;;;;;;
emission;total emission;;;;;;;;
GHG;methane;;;;;;;;
GHG;CO2;;;;;;;;
GHG;nitrous oxide;;;;;;;;
fungus;arbuscular mycorrhizal fungus;;;;;;;;
fungus;pathogenic fungus;;;;;;;;
mycorrhiza;arbuscular mycorrhiza;;;;;;;;
water;surface water;;;;;;;;
water;irrigation water;;;;;;;;
water;drainage water;;;;;;;;
water;soil water;ground water;shallow groundwater;;;;;;
water;runoff water;;;;;;;;
water;drinking water;;;;;;;;
water;seepage water;;;;;;;;
water;saline water;;;;;;;;
input;organic input;;;;;;;;
input;N input;;;;;;;;
input;P input;;;;;;;;
input;C input;;;;;;;;
soil fauna;soil macrofauna;earthworm;;;;;;;
soil fauna;soil macrofauna;soil arthropod;;;;;;;
soil fauna;soil mesofauna;soil arthropod;;;;;;;
soil fauna;soil microfauna;soil protozoa;;;;;;;
soil fauna;soil microfauna;soil nemathode;;;;;;;
soil flora;soil microflora;soil bacteria;actinobacteria;;;;;;
soil flora;soil microflora;soil bacteria;rhizobacteria;plant growth promote rhizobacteria;;;;;
soil flora;soil microflora;soil fungus;;;;;;;
soil flora;soil microflora;soil algae;;;;;;;
growth parameter;leaf area index;;;;;;;;
growth parameter;specific leaf area;;;;;;;;
growth parameter;crop growth rate;;;;;;;;
growth parameter;relative growth rate;;;;;;;;
growth parameter;light interception;;;;;;;;
productivity;crop productivity;;;;;;;;
productivity;soil productivity;;;;;;;;
productivity;maize productivity;;;;;;;;
productivity;agricultural productivity;;;;;;;;
productivity;rice productivity;;;;;;;;
productivity;biomass productivity;;;;;;;;
animal feed;forage;silage;;;;;;;
animal feed;forage;hay;;;;;;;
animal feed;grain;;;;;;;;
farming system;organic farming system;;;;;;;;
farming system;conventional farming system;;;;;;;;
farming system;conservation farming system;;;;;;;;
cropping system;arable cropping system;cereal base cropping system;maize cropping system;continuous corn system;;;;;
cropping system;arable cropping system;cereal base cropping system;rice cropping system;double rice cropping system;;;;;
cropping system;arable cropping system;soybean production system;;;;;;;
cropping system;arable cropping system;potato cropping system;;;;;;;
cropping system;organic cropping system;;;;;;;;
cropping system;conventional cropping system;;;;;;;;
cropping system;monoculture system;;;;;;;;
cropping system;multiple cropping system;double cropping system;rice wheat cropping system;;;;;;
cropping system;multiple cropping system;double cropping system;maize soybean system;;;;;;
cropping system;cover cropping system;green manure system;;;;;;;
cropping system;no till cropping system;;;;;;;;
cropping system;vegetable cropping system;potato cropping system;;;;;;;
cropping system;alley cropping system;;;;;;;;
cropping system;row crop system;;;;;;;;
cropping system;banana cropping system;;;;;;;;
cropping system;low input cropping system;;;;;;;;
cropping system;annual cropping system;;;;;;;;
cropping system;no tillage cropping system;;;;;;;;
cropping system;strip tillage system;;;;;;;;
soil health indicator;;;;;;;;;
cereal;winter cereal;winter wheat;;;;;;;
cereal;winter cereal;winter barley;;;;;;;
cereal;winter cereal;winter rye;;;;;;;
cereal;winter cereal;winter triticale;;;;;;;
cereal;spring cereal;spring wheat;;;;;;;
cereal;spring cereal;spring barley;;;;;;;
cereal;spring cereal;spring rye;;;;;;;
cereal;rice;silage maize;;;;;;;
cereal;rice;grain maize;;;;;;;
cereal;rice;early rice;;;;;;;
cereal;rice;late rice;;;;;;;
cereal;rice;lowland rice;;;;;;;
cereal;rice;upland rice;;;;;;;
cereal;rice;wetland rice;;;;;;;
cereal;rice;flood rice;;;;;;;
cereal;annual cereal;;;;;;;;
cereal;grass;forage grass;;;;;;;
cereal;grass;native grass;;;;;;;
legume;forage legume;forage pea;;;;;;;
legume;grain legume;;;;;;;;
legume;winter legume;winter pea;;;;;;;
legume;spring legume;spring pea;;;;;;;
legume;tropical legume;;;;;;;;
grass specie;;;;;;;;;
forage specie;;;;;;;;;
weed ;perennial weed;;;;;;;;
weed ;annual weed;summer annual weed;;;;;;;
weed ;annual weed;winter annual weed;;;;;;;
weed ;herbicide resistant weed;;;;;;;;
weed ;winter weed;;;;;;;;
weed ;broadleaf weed;;;;;;;;
weed ;grass weed;;;;;;;;
weed ;spontaneous weed;;;;;;;;
weed ;fallow weed;;;;;;;;
plant tissue;leaf tissue;;;;;;;;
growth;crop growth;cover crop growth;;;;;;;
growth;crop growth;cash crop growth;;;;;;;
growth;crop growth;maize growth;;;;;;;
growth;crop growth;rice growth;;;;;;;
growth;crop growth;cotton growth;;;;;;;
growth;crop growth;soybean growth;;;;;;;
growth;crop growth;tomato growth;;;;;;;
growth;crop growth;wheat growth;;;;;;;
growth;crop growth;grapevine growth;;;;;;;
growth;root growth;;;;;;;;
growth;weed growth;;;;;;;;
growth;seedling growth;;;;;;;;
growth;vegetative growth;vine vegetative growth;;;;;;;
growth;early growth;;;;;;;;
growth;tree growth;;;;;;;;
growth;shoot growth;;;;;;;;
growth;rapid growth;;;;;;;;
growth;initial growth;;;;;;;;
growth;legume growth;soybean growth;;;;;;;
growth;radicle growth;;;;;;;;
growth;microbial growth;;;;;;;;
nutrient cycle;N cycle;;;;;;;;
nutrient cycle;P cycle;;;;;;;;
nutrient cycle;C cycle;;;;;;;;
weed control method;mechanical control;;;;;;;;
pollution;water pollution ;;;;;;;;
pollution;soil pollution;;;;;;;;
planting method;;;;;;;;;
weed species;;;;;;;;;
plant disease;common scab;;;;;;;;
plant disease;black scurf;;;;;;;;
pesticide;chemical pesticide;chemical nematicide;;;;;;;
pesticide;chemical pesticide;soil fumigant;;;;;;;
pesticide;herbicide;syntethic herbicide;glyphosate;;;;;;
pesticide;herbicide;natural herbicide;;;;;;;
pesticide;herbicide;pre - emergence herbicide;;;;;;;
pesticide;herbicide;post - emergence herbicide;;;;;;;
pesticide;herbicide;non - selective herbicide;;;;;;;
pest;crop pest;potato beetle;;;;;;;
pest;soil pest;;;;;;;;
crop process;seed germination;;;;;;;;
crop process;photosynthesis;;;;;;;;
crop process;respiration;;;;;;;;
crop process;crop evapotranspiration;;;;;;;;
crop process;uptake;;;;;;;;
soil organic matter fraction;;;;;;;;;
climate change;;;;;;;;;
